Institution	City	Country	Official.Partners	CHAMNHA	HEAT	ENBEL	GHAP	HAPI	BioHEAT	HIGH_Horizons	Funder	Partners	Data_Providers	Government.Partners	Policy	Research	Engagement..Advocacy..and.Capacity.Building	Finance_programmes	Gueladio_Cisse	Matthew_Chersich	Pilot_Projects	lon	lat	Short_Name	Readable_Name
University of Lome	Lome	Togo	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1.215829	6.130419	U Lome	Univ Lome
Makerere University	Kampala	Uganda	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	32.581354	0.317714	Makerere	Univ Kampala
University of Warwick	Coventry	United Kingdom	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-1.560056	52.379189	U Warwick	Univ Coventry
Liverpool School of Tropical Medicine	Liverpool	United Kingdom	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-2.977838	53.405937	LSTM	Liverpool Tropical
University of Michigan	Ann Arbor	United States	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	-83.748462	42.281372	U Michigan	Univ Ann Arbor
University of Washington	Seattle	United States	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	-122.330062	47.603832	UW	Univ Seattle
US Department of Commerce	Washington DC	United States	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	-77.036871	38.907192	USDOC	US Commerce
University of Miami	Miami	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-80.191788	25.761681	U Miami	Univ Miami
RTI International	Research Triangle Park	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-78.863647	35.899168	RTI	RTI International
University North Carolina	Chapel Hill	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-79.055845	35.913245	UNC	Univ Chapel Hill
Harvard University	Cambridge	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-71.118292	42.374443	Harvard	Univ Cambridge
Johns Hopkins University	Baltimore	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	-76.620277	39.299236	JHU	Univ Baltimore
IMPAACT	Boston	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-71.060511	42.358162	IMPAACT	IMPAACT
Statistical Center for HIV/AIDS Research	Seattle	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-122.3321	47.6062	SCHARP	Statistical Center
AIDS Clinical Trials Group	Boston	United States	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-71.0589	42.3601	ACTG	AIDS Clinical
Midlands State University	Gweru	Zimbabwe	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	29.820595	-19.461632	MSU	Univ Gweru
CeSHHAR	Harare	Zimbabwe	1	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	0	31.060158	-17.856704	CeSHHAR	CeSHHAR
School of Public Health and Family Medicine	Cape Town	South Africa	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	18.4607	-33.9301	SPHFM	Public Health
Higher Institute of Public Health	Ouagadougou	Burkina Faso	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-1.5217	12.3714	HIPH	Higher Public
Re-Action Consulting	Johannesburg	South Africa	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	28.0473	-26.2041	RAC	Re-Action Consulting
MOSASWA	Maputo	Mozambique	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	32.5732	-25.9692	MOSASWA	MOSASWA
World Bank	Pretoria	South Africa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	28.2294	-25.7479	WB	World Bank
Department of Health (South Africa)	Pretoria	South Africa	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	28.1871	-25.7461	DoH-SA	Health (South
Department of Health (Zimbabwe)	Harare	Zimbabwe	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	31.0335	-17.8252	DoH-ZW	Health (Zimbabwe)
Department of Forestry Fisheries and the Environment (South Africa)	Pretoria	South Africa	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	28.2118	-25.7461	DFFE	Forestry Fisheries
City of Tshwane Metropolitan Municipality	Pretoria	South Africa	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	NA	NA	NA	NA	NA	 City Tshwane	
INSERM-ANRS MIE	Paris	France	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2.3522	48.8566	ANRS	ANRS
PROGRAMME PAC-CI	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-4.016107	5.320357	PAC-CI	PAC-CI Programme
Abidjan Cardiology Institute	Abidjan	Côte d'Ivoire	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-4.016107	5.320357	ACI	Abidjan Cardiology

